,Beds,Location,Price,Sq ft,Taxes,Type of Unit,link
0,"Beds: 1, Baths: 1",Church/Carlton In The Village,"$399,900",Approx 0-499 sq ft,"Taxes  (2019) : $ 1,719",Condominium,http://www.toronto-realestate.biz//listings/2492683-toronto-ontario-c4499595
1,"Beds: 1, Baths: 1",Jarvis & Bloor,"$469,900",Approx 500-599 sq ft,"Taxes  (2019) : $ 1,716",Condominium,http://www.toronto-realestate.biz//listings/2491409-toronto-ontario-c4497535
2,"Beds: 1, Baths: 1",Yonge/Wellesley,"$499,000",Approx 0-499 sq ft,"Taxes  (2018) : $ 1,884",Condominium,http://www.toronto-realestate.biz//listings/2481846-toronto-ontario-c4481070
3,"Beds: 1, Baths: 1",Yonge & Wellesley,"$510,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 1,869",Condominium,http://www.toronto-realestate.biz//listings/2490543-toronto-ontario-c4495931
4,"Beds: 1 + 1, Baths: 1",Church-Yonge Corridor Toronto,"$519,900",Approx 500-599 sq ft,"Taxes  (2020) : $ 2,020",Condominium,http://www.toronto-realestate.biz//listings/2485768-toronto-ontario-c4477438
5,"Beds: 1, Baths: 1",Church St / Shuter St,"$529,000",Approx 500-599 sq ft,"Taxes  (2019) : $ 2,137",Condominium,http://www.toronto-realestate.biz//listings/2485839-toronto-ontario-c4489253
6,"Beds: 1, Baths: 1",Yonge / Bloor,"$530,000",Approx 500-599 sq ft,"Taxes  (2018) : $ 2,380",Condominium,http://www.toronto-realestate.biz//listings/2490667-toronto-ontario-c4496206
7,"Beds: 2, Baths: 1",Church & Gerrard,"$550,000",Approx 800-899 sq ft,"Taxes  (2018) : $ 2,300",Condominium,http://www.toronto-realestate.biz//listings/2492103-toronto-ontario-c4498678
8,"Beds: 1, Baths: 1",Yonge St & Dundas Street,"$555,000",Approx 500-599 sq ft,"Taxes  (2018) : $ 2,034",Condominium,http://www.toronto-realestate.biz//listings/2439034-toronto-ontario-c4408662
9,"Beds: 1, Baths: 1",King/Yonge,"$568,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,784",Condominium,http://www.toronto-realestate.biz//listings/2442399-toronto-ontario-c4414299
10,"Beds: 1, Baths: 1",Yonge / Wellesley,"$579,900",Approx 0-499 sq ft, ,Condominium,http://www.toronto-realestate.biz//listings/2482659-toronto-ontario-c4482453
11,"Beds: 1, Baths: 1",Yonge/Dundas,"$597,900",Approx 500-599 sq ft,"Taxes  (2018) : $ 2,034",Condominium,http://www.toronto-realestate.biz//listings/2478258-toronto-ontario-c4475097
12,"Beds: 1, Baths: 1",Bloor/ Jarvis,"$599,000",Approx 500-599 sq ft,"Taxes  (2018) : $ 2,097",Condominium,http://www.toronto-realestate.biz//listings/2441158-toronto-ontario-c4412197
13,"Beds: 1, Baths: 1",Yonge/Bloor,"$599,900",Approx 0-499 sq ft,"Taxes  (2018) : $ 2,011",Condominium,http://www.toronto-realestate.biz//listings/2468991-toronto-ontario-c4459814
14,"Beds: 1, Baths: 1",King St E / Church St,"$615,000",Approx 500-599 sq ft,"Taxes  (2019) : $ 2,430",Condominium,http://www.toronto-realestate.biz//listings/2481274-toronto-ontario-c4480373
15,"Beds: 1 + 1, Baths: 1",Bloor St. / Ted Rogers Way.,"$619,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,272",Condominium,http://www.toronto-realestate.biz//listings/2485841-toronto-ontario-c4489210
16,"Beds: 1 + 1, Baths: 1",Bloor/Jarvis,"$625,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,281",Condominium,http://www.toronto-realestate.biz//listings/2442081-toronto-ontario-c4413438
17,"Beds: 1 + 1, Baths: 1",Yonge & Carlton,"$625,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,641",Condominium,http://www.toronto-realestate.biz//listings/2424401-toronto-ontario-c4384673
18,"Beds: 1 + 1, Baths: 1",Yonge/Carlton,"$630,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,440",Condominium,http://www.toronto-realestate.biz//listings/2471084-toronto-ontario-c4463203
19,"Beds: 1 + 1, Baths: 2",Dundas/Jarvis,"$635,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,879",Condominium,http://www.toronto-realestate.biz//listings/2461028-toronto-ontario-c4446525
20,"Beds: 1 + 1, Baths: 1",Church/Carlton,"$639,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,063",Condominium,http://www.toronto-realestate.biz//listings/2485068-toronto-ontario-c4486961
21,"Beds: 1, Baths: 1",Yonge / Wellesley,"$639,900",Approx 0-499 sq ft, ,Condominium,http://www.toronto-realestate.biz//listings/2482658-toronto-ontario-c4482448
22,"Beds: 1, Baths: 1",Dundas/Church,"$640,000",Approx 700-799 sq ft,"Taxes  (2019) : $ 2,374",Condominium,http://www.toronto-realestate.biz//listings/2462739-toronto-ontario-c4449515
23,"Beds: 1 + 1, Baths: 1",Bloor/Jarvis,"$668,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,504",Condominium,http://www.toronto-realestate.biz//listings/2470277-toronto-ontario-c4462113
24,"Beds: 1 + 1, Baths: 1",King St E & Church St,"$675,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,298",Condominium,http://www.toronto-realestate.biz//listings/2487966-toronto-ontario-c4491487
25,"Beds: 1, Baths: 1",Yonge & Wellesley,"$679,000",Approx 700-799 sq ft, ,Condominium,http://www.toronto-realestate.biz//listings/2434783-toronto-ontario-c4401606
26,"Beds: 2, Baths: 2",Church / Isabella,"$679,000",Approx 1000-1199 sq ft,"Taxes  (2019) : $ 2,992",Condominium,http://www.toronto-realestate.biz//listings/2491386-toronto-ontario-c4497390
27,"Beds: 1 + 1, Baths: 1",Bloor & Jarvis,"$728,900",Approx 600-699 sq ft,"Taxes  (2018) : $ 2,888",Condominium,http://www.toronto-realestate.biz//listings/2463952-toronto-ontario-c4451583
28,"Beds: 2, Baths: 2",Bloor / Church,"$729,000",Approx 1000-1199 sq ft,"Taxes  (2019) : $ 3,009",Condominium,http://www.toronto-realestate.biz//listings/2485805-toronto-ontario-c4488320
29,"Beds: 1 + 1, Baths: 1",Yonge/Wellesley,"$739,000",Approx 600-699 sq ft,"Taxes  (2018) : $ 1,669",Condominium,http://www.toronto-realestate.biz//listings/2475989-toronto-ontario-c4471512
30,"Beds: 2, Baths: 1",Carlton & Jarvis,"$739,900",Approx 800-899 sq ft,"Taxes  (2018) : $ 3,012",Condominium,http://www.toronto-realestate.biz//listings/2472123-toronto-ontario-c4465104
31,"Beds: 1 + 1, Baths: 1",Yonge & Bloor,"$745,000",Approx 700-799 sq ft,"Taxes  (2018) : $ 2,650",Condominium,http://www.toronto-realestate.biz//listings/2491626-toronto-ontario-c4497721
32,"Beds: 2 + 1, Baths: 4",Carlton / Church,"$748,000",Approx 700-799 sq ft, ,Condominium,http://www.toronto-realestate.biz//listings/2475211-toronto-ontario-c4470155
